,Immunity fraction ,Infection rate,Errors on infection rate
0,0.0,0.25527664000000005,0.0006732988685568832
1,0.044444444444444446,0.22904416,0.0024414654432123443
2,0.08888888888888889,0.19734175999999998,0.0041904734900008594
3,0.13333333333333333,0.16068696,0.003831223934775935
4,0.17777777777777778,0.12260712,0.00476686940555329
5,0.22222222222222224,0.074012,0.006291257512453294
6,0.26666666666666666,0.01037448,0.012826280432050438
7,0.3111111111111111,0.0,0.0
8,0.35555555555555557,0.0,0.0
9,0.4,0.0,0.0
